"","package_name","package_version","package_title"
"2195","deldir","0.1-14","Delaunay Triangulation and Dirichlet (Voronoi) Tessellation"
"2196","delt","0.8.2","Estimation of Multivariate Densities Using Adaptive Partitions"
"2197","Delta","0.1.1.11","Measure of Agreement Between Two Raters"
"2198","deltaPlotR","1.5","Identification of dichotomous differential item functioning<U+000a>(DIF) using Angoff's Delta Plot method"
"2199","deltar","1.0.0","Calculation of Delta R Values"
"2200","Demerelate","0.9-3","Functions to Calculate Relatedness on Diploid Genetic Data"
"2201","DEMEtics","0.8-7","Evaluating the genetic differentiation between populations based<U+000a>on Gst and D values."
"2202","demi","1.1.2","Differential Expression from Multiple Indicators"
"2203","deming","1.0-1","Deming, Thiel-Sen and Passing-Bablock Regression"
"2204","demogR","0.5.0","Analysis of Age-Structured Demographic Models"
"2205","demography","1.20","Forecasting Mortality, Fertility, Migration and Population Data"
"2206","demoKde","0.9-4","Kernel Density Estimation for Demonstration Purposes"
"2207","DEMOVA","1.0","DEvelopment (of Multi-Linear QSPR/QSAR) MOdels VAlidated using
Test Set"
"2208","dendextend","1.6.0","Extending 'Dendrogram' Functionality in R"
"2209","dendroextras","0.2.2","Extra Functions to Cut, Label and Colour Dendrogram Clusters"
"2210","dendrometeR","1.0.0","Analyzing Dendrometer Data"
"2211","DendroSync","0.1.0","A Set of Tools for Calculating Spatial Synchrony Between
Tree-Ring Chronologies"
"2212","dendroTools","0.0.4","Nonlinear Methods for Analyzing Dendroclimatological Data"
"2213","DendSer","1.0.1","Dendrogram seriation: ordering for visualisation"
"2214","dendsort","0.3.3","Modular Leaf Ordering Methods for Dendrogram Nodes"
"2215","DengueRT","1.0.1","Parameter Estimates and Real-Time Prediction of a Single Dengue
Outbreak"
"2216","denoiSeq","0.1.0","Differential Expression Analysis Using a Bottom-Up Model"
"2217","denoiseR","1.0","Regularized Low Rank Matrix Estimation"
"2218","denovolyzeR","0.2.0","Statistical Analyses of De Novo Genetic Variants"
"2219","denpro","0.9.2","Visualization of Multivariate Functions, Sets, and Data"
"2220","denseFLMM","0.1.0","Functional Linear Mixed Models for Densely Sampled Data"
"2221","Density.T.HoldOut","2.00","Density.T.HoldOut: Non-combinatorial T-estimation Hold-Out for<U+000a>density estimation"
"2222","densityClust","0.3","Clustering by Fast Search and Find of Density Peaks"
"2223","DensParcorr","1.0","Dens-Based Method for Partial Correlation Estimation in Large
Scale Brain Networks"
"2224","densratio","0.0.3","Density Ratio Estimation"
"2225","denstrip","1.5.3","Density strips and other methods for compactly illustrating<U+000a>distributions"
"2226","DEoptim","2.2-4","Global Optimization by Differential Evolution"
"2227","DEoptimR","1.0-8","Differential Evolution Optimization in Pure R"
"2228","depend.truncation","2.8","Statistical Inference for Parametric and Semiparametric Models
Based on Dependently Truncated Data"
"2229","DEploid","0.4.4","Deconvolute Mixed Genomes with Unknown Proportions"
"2230","depmix","0.9.14","Dependent Mixture Models"
"2231","depmixS4","1.3-3","Dependent Mixture Models - Hidden Markov Models of GLMs and
Other Distributions in S4"
"2232","depth","2.1-1","Nonparametric Depth Functions for Multivariate Analysis"
"2233","depth.plot","0.1","Multivariate Analogy of Quantiles"
"2234","DepthProc","2.0.2","Statistical Depth Functions for Multivariate Analysis"
"2235","depthTools","0.4","Depth Tools Package"
"2236","dequer","2.0-1","Stacks, Queues, and 'Deques' for R"
"2237","Deriv","3.8.3","Symbolic Differentiation"
"2238","derivmkts","0.2.2","Functions and R Code to Accompany Derivatives Markets"
"2239","DES","1.0.0","Discrete Event Simulation"
"2240","desc","1.1.1","Manipulate DESCRIPTION Files"
"2241","descomponer","1.4","Seasonal Adjustment by Frequency Analysis"
"2242","descr","1.1.3","Descriptive Statistics"
"2243","DescribeDisplay","0.2.5","An Interface to the DescribeDisplay GGobi Plugin"
"2244","describer","0.2.0","Describe Data in R Using Common Descriptive Statistics"
"2245","DescriptiveStats.OBeu","1.2.1","Descriptive Statistics OpenBudgets.eu"
"2246","descriptr","0.3.0","Generate Descriptive Statistics & Explore Statistical
Distributions"
"2247","desctable","0.1.0","Produce Descriptive and Comparative Tables Easily"
"2248","DescTools","0.99.23","Tools for Descriptive Statistics"
"2249","DescToolsAddIns","0.9.2","Some Functions to be Used as Shortcuts in 'RStudio'"
"2250","deseasonalize","1.35","Optimal deseasonalization for geophysical time series using AR<U+000a>fitting"
"2251","designGG","1.1","Computational tool for designing genetical genomics experiments."
"2252","designGLMM","0.1.0","Finding Optimal Block Designs for a Generalised Linear Mixed
Model"
"2253","designmatch","0.3.0","Matched Samples that are Balanced and Representative by Design"
"2254","desiR","1.2.1","Desirability Functions for Ranking, Selecting, and Integrating
Data"
"2255","desirability","2.1","Function Optimization and Ranking via Desirability Functions"
"2256","desire","1.0.7","Desirability functions in R"
"2257","DESnowball","1.0","Bagging with Distance-based Regression for Differential Gene<U+000a>Expression Analyses"
"2258","deSolve","1.20","Solvers for Initial Value Problems of Differential Equations
('ODE', 'DAE', 'DDE')"
"2259","DESP","0.2-2","Estimation of Diagonal Elements of Sparse Precision-Matrices"
"2260","desplot","1.3","Plotting Field Plans for Agricultural Experiments"
"2261","detect","0.4-0","Analyzing Wildlife Data with Detection Error"
"2262","detector","0.1.0","Detect Data Containing Personally Identifiable Information"
"2263","deTestSet","1.1.5","Test Set for Differential Equations"
"2264","DetMCD","0.0.4","Implementation of the DetMCD Algorithm (Robust and Deterministic
Estimation of Location and Scatter)"
"2265","DetR","0.0.4","Suite of Deterministic and Robust Algorithms for Linear
Regression"
"2266","detrendeR","1.0.4","Start the detrendeR Graphical User Interface (GUI)"
"2267","detrendr","0.1.0","Detrend Images"
"2268","DetSel","1.0.2","A computer program to detect markers responding to selection"
"2269","detzrcr","0.2.0","Compare Detrital Zircon Suites"
"2270","devEMF","3.6","EMF Graphics Output Device"
"2271","Devore7","0.7.6","Data sets from Devore's ""Prob and Stat for Eng (7th ed)"""
"2272","devRate","0.1.5","Quantify the Relationship Between Development Rate and
Temperature in Ectotherms"
"2273","devtools","1.13.4","Tools to Make Developing R Packages Easier"
"2274","dexter","0.6.0","Data Management and Analysis of Tests"
"2275","df2json","0.0.2","Convert a dataframe to JSON"
"2276","dfcomb","2.3","Phase I/II Adaptive Dose-Finding Design for Combination Studies"
"2277","dfCompare","1.0.0","Compare Two Dataframes and Return Adds, Changes, and Deletes"
"2278","dfcrm","0.2-2","Dose-finding by the continual reassessment method"
"2279","dfexplore","0.2.1","Explore data.frames by plotting NA and classes of each variable"
"2280","DFIT","1.0-3","Differential Functioning of Items and Tests"
"2281","dfmta","1.5","Phase I/II Adaptive Dose-Finding Design for MTA"
"2282","dfoptim","2017.12-1","Derivative-Free Optimization"
"2283","Dforest","0.4.2","Decision Forest"
"2284","dfped","1.0","Extrapolation and Bridging of Adult Information in Early Phase
Dose-Finding Paediatrics Studies"
"2285","dfphase1","1.1.1","Phase I Control Charts (with Emphasis on Distribution-Free
Methods)"
"2286","dfpk","3.4.0","Bayesian Dose-Finding Designs using Pharmacokinetics (PK) for
Phase I Clinical Trials"
"2287","dga","1.2","Capture-Recapture Estimation using Bayesian Model Averaging"
"2288","dGAselID","1.2","Genetic Algorithm with Incomplete Dominance for Feature
Selection"
"2289","DGCA","1.0.1","Differential Gene Correlation Analysis"
"2290","dggridR","2.0.1","Discrete Global Grids for R"
"2291","dglars","2.0.0","Differential Geometric Least Angle Regression"
"2292","dglm","1.8.3","Double Generalized Linear Models"
"2293","dgmb","1.2","Simulating Data for PLS Mode B Structural Models"
"2294","dgo","0.2.14","Dynamic Estimation of Group-Level Opinion"
"2295","dgodata","0.0.2","Data for the 'dgo' Package"
"2296","dgof","1.2","Discrete Goodness-of-Fit Tests"
"2297","DHARMa","0.1.5","Residual Diagnostics for Hierarchical (Multi-Level / Mixed)
Regression Models"
"2298","dhga","0.1","Differential Hub Gene Analysis"
"2299","dhglm","1.7","Double Hierarchical Generalized Linear Models"
"2300","dHSIC","2.0","Independence Testing via Hilbert Schmidt Independence Criterion"
"2301","di","1.1.3","Deficit Index (DI)"
"2302","diagis","0.1.3","Diagnostic Plot and Multivariate Summary Statistics of Weighted
Samples from Importance Sampling"
"2303","diagonals","0.4.0","Block Diagonal Extraction or Replacement"
"2304","diagram","1.6.4","Functions for Visualising Simple Graphs (Networks), Plotting
Flow Diagrams"
"2305","DiagrammeR","0.9.2","Graph/Network Visualization"
"2306","DiagrammeRsvg","0.1","Export DiagrammeR Graphviz Graphs as SVG"
"2307","DiallelAnalysisR","0.1.1","Diallel Analysis with R"
"2308","diaplt","1.2.1","Beads Summary Plot of Ranges"
"2309","dice","1.2","Calculate probabilities of various dice-rolling events"
"2310","DiceDesign","1.7","Designs of Computer Experiments"
"2311","DiceEval","1.4","Construction and Evaluation of Metamodels"
"2312","DiceKriging","1.5.5","Kriging Methods for Computer Experiments"
"2313","DiceOptim","2.0","Kriging-Based Optimization for Computer Experiments"
"2314","diceR","0.3.1","Diverse Cluster Ensemble in R"
"2315","dichromat","2.0-0","Color Schemes for Dichromats"
"2316","dicionariosIBGE","1.6","Dictionaries for reading microdata surveys from IBGE"
"2317","DidacticBoost","0.1.1","A Simple Implementation and Demonstration of Gradient Boosting"
"2318","Diderot","0.12","Bibliographic Network Analysis"
"2319","didrooRFM","1.0.0","Compute Recency Frequency Monetary Scores for your Customer Data"
"2320","dief","1.1","Metrics for Continuous Efficiency"
"2321","dielectric","0.2.3","Defines some physical constants and dielectric functions<U+000a>commonly used in optics, plasmonics."
"2322","diezeit","0.1-0","R Interface to the ZEIT ONLINE Content API"
"2323","DIFboost","0.2","Detection of Differential Item Functioning (DIF) in Rasch Models
by Boosting Techniques"
"2324","difconet","1.0-4","Differential Coexpressed Networks"
"2325","DiffCorr","0.4.1","Analyzing and Visualizing Differential Correlation Networks in
Biological Data"
"2326","diffdepprop","0.1-9","Calculates Confidence Intervals for two Dependent Proportions"
"2327","diffEq","1.0-1","Functions from the book Solving Differential Equations in R"
"2328","diffeR","0.0-4","Metrics of Difference for Comparing Pairs of Maps"
"2329","diffIRT","1.5","Diffusion IRT Models for Response and Response Time Data"
"2330","diffMeanVar","0.0.6","Detecting Gene Probes with Different Means or Variances Between
Two Groups"
"2331","diffMeshGP","0.1.0","Multi-Fidelity Computer Experiments Using the Tuo-Wu-Yu Model"
"2332","DiffNet","1.0-0","Detection of Statistically Significant Changes in Complex
Biological Networks"
"2333","diffobj","0.1.8","Diffs for R Objects"
"2334","diffpriv","0.4.2","Easy Differential Privacy"
"2335","diffr","0.1","Display Differences Between Two Files using Codediff Library"
"2336","diffractometry","0.1-8","Baseline identification and peak decomposition for x-ray<U+000a>diffractograms"
"2337","diffrprojects","0.1.14","Projects for Text Version Comparison and Analytics in R"
"2338","diffrprojectswidget","0.1.5","Visualization for 'diffrprojects'"
"2339","diffusionMap","1.1-0","Diffusion map"
"2340","DiffusionRgqd","0.1.3","Inference and Analysis for Generalized Quadratic Diffusions"
"2341","DiffusionRimp","0.1.2","Inference and Analysis for Diffusion Processes via Data
Imputation and Method of Lines"
"2342","DiffusionRjgqd","0.1.1","Inference and Analysis for Jump Generalized Quadratic Diffusions"
"2343","diffusr","0.1.2","Network Diffusion Algorithms"
"2344","DIFlasso","1.0-3","A Penalty Approach to Differential Item Functioning in Rasch
Models"
"2345","difNLR","1.1.1","Detection of Differential Item Functioning (DIF) and
Differential Distractor Functioning (DDF) by Non-Linear
Regression Models"
"2346","difR","4.7","Collection of Methods to Detect Dichotomous Differential Item
Functioning (DIF)"
"2347","DIFtree","2.1.4","Item Focused Trees for the Identification of Items in
Differential Item Functioning"
"2348","digest","0.6.13","Create Compact Hash Digests of R Objects"
"2349","Digiroo2","0.6","An application programming interface for generating null models<U+000a>of social contacts based on individuals' space use"
"2350","digitalPCR","1.1.0","Estimate Copy Number for Digital PCR"
"2351","digitize","0.0.4","Use Data from Published Plots in R"
"2352","dils","0.8.1","Data-Informed Link Strength. Combine multiple-relationship<U+000a>networks into a single weighted network. Impute (fill-in)<U+000a>missing network links."
"2353","DIME","1.2","DIME (Differential Identification using Mixture Ensemble)"
"2354","dimRed","0.1.0","A Framework for Dimensionality Reduction"
"2355","dina","1.0.2","Bayesian Estimation of DINA Model"
"2356","dinamic","1.0","DiNAMIC A Method To Analyze Recurrent DNA Copy Number<U+000a>Aberrations in Tumors"
"2357","diptest","0.75-7","Hartigan's Dip Test Statistic for Unimodality - Corrected"
"2358","DIRECT","1.0.1","Bayesian Clustering of Multivariate Data Under the
Dirichlet-Process Prior"
"2359","Directional","3.0","Directional Statistics"
"2360","directlabels","2017.03.31","Direct Labels for Multicolor Plots"
"2361","directPA","1.3","Direction Analysis for Pathways and Kinases"
"2362","DirectStandardisation","1.2","Adjusted Means and Proportions by Direct Standardisation"
"2363","DirichletReg","0.6-3","Dirichlet Regression in R"
"2364","dirmcmc","1.3.3","Directional Metropolis Hastings Algorithm"
"2365","dirmult","0.1.3-4","Estimation in Dirichlet-Multinomial distribution."
"2366","Disake","1.5","Discrete associated kernel estimators"
"2367","discgolf","0.1.0","Discourse 'API' Client"
"2368","disclap","1.5","Discrete Laplace Exponential Family"
"2369","disclapmix","1.6.2","Discrete Laplace Mixture Inference using the EM Algorithm"
"2370","disco","0.5","Discordance and Concordance of Transcriptomic Responses"
"2371","discord","0.1","Functions for Discordant Kinship Modeling"
"2372","discretecdAlgorithm","0.0.5","Coordinate-Descent Algorithm for Learning Sparse Discrete
Bayesian Networks"
"2373","DiscreteInverseWeibull","1.0.2","Discrete Inverse Weibull Distribution"
"2374","DiscreteLaplace","1.1.1","Discrete Laplace Distributions"
"2375","discreteMTP","0.1-2","Multiple testing procedures for discrete test statistics"
"2376","discreteRV","1.2.2","Create and Manipulate Discrete Random Variables"
"2377","DiscreteWeibull","1.1","Discrete Weibull Distributions (Type 1 and 3)"
"2378","discretization","1.0-1","Data preprocessing, discretization for classification."
"2379","discrimARTs","0.2","Discrimination of Alternative Reproductive Tactics (ARTs)."
"2380","DiscriMiner","0.1-29","Tools of the Trade for Discriminant Analysis"
"2381","discSurv","1.1.7","Discrete Time Survival Analysis"
"2382","diseasemapping","1.4.2","Modelling Spatial Variation in Disease Risk for Areal Data"
"2383","DisHet","0.2.0","Estimate the Gene Expression Levels and Component Proportions of
the Normal, Stroma (Immune) and Tumor Components of Bulk Tumor
Samples"
"2384","DisimForMixed","0.2","Calculate Dissimilarity Matrix for Dataset with Mixed Attributes"
"2385","diskImageR","1.0.0","A Pipeline to Analyze Resistance and Tolerance from Drug Disk
Diffusion Assays"
"2386","dismo","1.1-4","Species Distribution Modeling"
"2387","disp2D","1.0","2D Hausdorff and Simplex Dispersion Orderings"
"2388","disparityfilter","2.2.3","Disparity Filter Algorithm for Weighted Networks"
"2389","displayHTS","1.0","displayHTS"
"2390","dispmod","1.1","Dispersion models"
"2391","disposables","1.0.3","Create Disposable R Packages for Testing"
"2392","dissever","0.2-1","Spatial Downscaling using the Dissever Algorithm"
"2393","dissUtils","1.0","Utilities for making pairwise comparisons of multivariate data"
"2394","Distance","0.9.7","Distance Sampling Detection Function and Abundance Estimation"
"2395","distance.sample.size","0.0","Calculates Study Size Required for Distance Sampling"
"2396","distances","0.1.2","Tools for Distance Metrics"
"2397","DistatisR","1.0","DiSTATIS Three Way Metric Multidimensional Scaling"
"2398","distcomp","1.0-1","Computations over Distributed Data without Aggregation"
"2399","distcrete","1.0.3","Discrete Distribution Approximations"
"2400","distdrawr","0.1.3","Download Occurrence Data of Vascular Plants in Germany from the
FLORKART Database"
"2401","distfree.cr","1.0","Distribution-free confidence region (distfree.cr)"
"2402","distillery","1.0-4","Method Functions for Confidence Intervals and to Distill
Information from an Object"
"2403","distory","1.4.3","Distance Between Phylogenetic Histories"
"2404","distr","2.6.2","Object Oriented Implementation of Distributions"
"2405","distrDoc","2.6","Documentation for 'distr' Family of R Packages"
"2406","distrEllipse","2.6.2","S4 Classes for Elliptically Contoured Distributions"
"2407","distrEx","2.6.1","Extensions of Package 'distr'"
"2408","DISTRIB","1.0","Four Essential Functions for Statistical Distributions Analysis:
A New Functional Approach"
"2409","DistributionUtils","0.5-1","Distribution Utilities"
"2410","distrMod","2.6.1","Object Oriented Implementation of Probability Models"
"2411","distrom","0.3-3","Distributed Multinomial Regression"
"2412","distrr","0.0.4","Estimate and Manage Empirical Distributions"
"2413","distrRmetrics","2.6","Distribution Classes for Distributions from Rmetrics"
"2414","distrSim","2.6","Simulation Classes Based on Package 'distr'"
"2415","distrTeach","2.6.1","Extensions of Package 'distr' for Teaching
Stochastics/Statistics in Secondary School"
"2416","distrTEst","2.6","Estimation and Testing Classes Based on Package 'distr'"
"2417","divagis","1.0.0","Provides tools for quality checks of georeferenced plant species<U+000a>accessions."
"2418","DivE","1.0","Diversity Estimator"
"2419","diveMove","1.4.4","Dive Analysis and Calibration"
"2420","diverse","0.1.5","Diversity Measures for Complex Systems"
"2421","diversitree","0.9-10","Comparative 'Phylogenetic' Analyses of Diversification"
"2422","diveRsity","1.9.90","A Comprehensive, General Purpose Population Genetics Analysis
Package"
"2423","DiversityOccupancy","1.0.6","Building Diversity Models from Multiple Species Occupancy Models"
"2424","DiversitySampler","2.1","Functions for re-sampling a community matrix to compute<U+000a>diversity indices at different sampling levels."
"2425","divest","0.4.1","Get Images Out of DICOM Format Quickly"
"2426","DivMelt","1.0.3","HRM Diversity Assay Analysis Tool"
"2427","divo","1.0.0","Tools for Analysis of Diversity and Similarity in Biological
Systems"
"2428","dixon","0.0-6","Nearest Neighbour Contingency Table Analysis"
"2429","DJL","2.6","Distance Measure Based Judgment and Learning"
"2430","dkDNA","0.1.1","Diffusion Kernels on a Set of Genotypes"
"2431","dLagM","1.0.0","Time Series Regression Models with Distributed Lag Models"
"2432","DLASSO","2.0.2","Implementation of Adaptive or Non-Adaptive Differentiable Lasso
and SCAD Penalties in Linear Models"
"2433","dlib","1.0","Allow Access to the 'Dlib' C++ Library"
"2434","dlm","1.1-4","Bayesian and Likelihood Analysis of Dynamic Linear Models"
"2435","dlmap","1.13","Detection Localization Mapping for QTL"
"2436","dlmodeler","1.4-2","Generalized Dynamic Linear Modeler"
"2437","DLMtool","5.0.2","Data-Limited Methods Toolkit"
"2438","dlnm","2.3.4","Distributed Lag Non-Linear Models"
"2439","dlsem","2.0","Distributed-Lag Linear Structural Equation Models"
"2440","dlstats","0.1.0","Download Stats of R Packages"
"2441","dma","1.3-0","Dynamic Model Averaging"
"2442","dml","1.1.0","Distance Metric Learning in R"
"2443","dmm","2.1-2","Dyadic Mixed Model for Pedigree Data"
"2444","DMMF","0.3.2.0","Daily Based Morgan-Morgan-Finney (DMMF) Soil Erosion Model"
"2445","dMod","0.4","Dynamic Modeling and Parameter Estimation in ODE Models"
"2446","DMR","2.0","Delete or Merge Regressors for linear model selection."
"2447","DMRMark","1.1.1","DMR Detection by Non-Homogeneous Hidden Markov Model from
Methylation Array Data"
"2448","DMRnet","0.1.0","Delete or Merge Regressors Algorithms for Linear and Logistic
Model Selection and High-Dimensional Data"
"2449","dmt","0.8.20","Dependency Modeling Toolkit"
"2450","dmutate","0.1.2","Mutate Data Frames with Random Variates"
"2451","DMwR","0.4.1","Functions and data for ""Data Mining with R"""
"2452","DMwR2","0.0.2","Functions and Data for the Second Edition of ""Data Mining with
R"""
"2453","dna","1.1-1","Differential Network Analysis"
"2454","DNAseqtest","1.0","Generating and Testing DNA Sequences"
"2455","DNAtools","0.1-22","Tools for Analysing Forensic Genetic DNA Data"
"2456","dnc","1.2","Dynamic Network Clustering"
"2457","DnE","2.1.0","Distribution and Equation"
"2458","dnet","1.1.1","Integrative Analysis of Omics Data in Terms of Network,
Evolution and Ontology"
"2459","dng","0.1.1","Distributions and Gradients"
"2460","DNLC","1.0.0","Differential Network Local Consistency Analysis"
"2461","DNMF","1.3","Discriminant Non-Negative Matrix Factorization"
"2462","DOBAD","1.0.6","Analysis of Discretely Observed Linear
Birth-and-Death(-and-Immigration) Markov Chains"
"2463","dobson","0.2","Data from the GLM Book by Dobson and Barnett"
"2464","doBy","4.5-15","Groupwise Statistics, LSmeans, Linear Contrasts, Utilities"
"2465","docker","0.0.2","Wraps Docker Python SDK"
"2466","docopt","0.4.5","Command-Line Interface Specification Language"
"2467","docopulae","0.3.3","Optimal Designs for Copula Models"
"2468","docstring","1.0.0","Provides Docstring Capabilities to R Functions"
"2469","documair","0.6-0","Automatic Documentation for R packages"
"2470","document","2.2.0","Run 'roxygen2' on (Chunks of) Single Code Files"
"2471","docuSignr","0.0.3","Connect to 'DocuSign' API"
"2472","docxtools","0.1.1","Tools for R Markdown to Docx Documents"
"2473","docxtractr","0.2.0","Extract Data Tables and Comments from Microsoft Word Documents"
"2474","Dodge","0.8","Functions for Acceptance Sampling Ideas originated by H.F. Dodge"
"2475","dodgr","0.0.3","Distances on Directed Graphs"
"2476","DODR","0.99.2","Detection of Differential Rhythmicity"
"2477","DoE.base","0.31","Full Factorials, Orthogonal Arrays and Base Utilities for DoE
Packages"
"2478","DoE.MIParray","0.10","Creation of Arrays by Mixed Integer Programming"
"2479","DoE.wrapper","0.9","Wrapper Package for Design of Experiments Functionality"
"2480","DoEstRare","0.2","Rare Variant Association Test Based on Position Density
Estimation"
"2481","doFuture","0.6.0","A Universal Foreach Parallel Adaptor using the Future API of the
'future' Package"
"2482","doMC","1.3.5","Foreach Parallel Adaptor for 'parallel'"
"2483","Dominance","1.0.17","ADI (Average Dominance Index), Social Network Graphs with Dual
Directions, and Music Notation Graph"
"2484","domino","0.3.1","R Console Bindings for the 'Domino Command-Line Client'"
"2485","doMPI","0.2.2","Foreach Parallel Adaptor for the Rmpi Package"
"2486","doParallel","1.0.11","Foreach Parallel Adaptor for the 'parallel' Package"
"2487","doRedis","1.1.1","Foreach parallel adapter for the rredis package"
"2488","doRNG","1.6.6","Generic Reproducible Parallel Backend for 'foreach' Loops"
"2489","DoseFinding","0.9-15","Planning and Analyzing Dose Finding Experiments"
"2490","doSNOW","1.0.16","Foreach Parallel Adaptor for the 'snow' Package"
"2491","dosresmeta","2.0.1","Multivariate Dose-Response Meta-Analysis"
"2492","dostats","1.3.2","Compute Statistics Helper Functions"
"2493","DOT","0.1","Render and Export DOT Graphs in R"
"2494","DoTC","0.2","Distribution of Typicality Coefficients"
"2495","dotCall64","0.9-5","Enhanced Foreign Function Interface Supporting Long Vectors"
"2496","dotenv","1.0.2","Load Environment Variables from '.env'"
"2497","dotwhisker","0.3.0","Dot-and-Whisker Plots of Regression Results"
"2498","doubcens","1.1","Survivor Function Estimation for Doubly Interval-Censored
Failure Time Data"
"2499","DoubleCone","1.1","Test Against Parametric Regression Function"
"2500","DoubleExpSeq","1.1","Differential Exon Usage Test for RNA-Seq Data via Empirical
Bayes Shrinkage of the Dispersion Parameter"
"2501","DOvalidation","1.1.0","Kernel Hazard Estimation with Best One-Sided and Double
One-Sided Cross-Validation"
"2502","Dowd","0.12","Functions Ported from 'MMR2' Toolbox Offered in Kevin Dowd's
Book Measuring Market Risk"
"2503","downloader","0.4","Download Files over HTTP and HTTPS"
"2504","downscale","2.0-3","Downscaling Species Occupancy"
"2505","downsize","0.2.2","A Tool to Downsize Large Workflows for Testing"
"2506","dpa","1.0-3","Dynamic Path Approach"
"2507","dparser","0.1.8","Port of 'Dparser' Package"
"2508","DPBBM","0.2.5","Dirichlet Process Beta-Binomial Mixture"
"2509","dpcR","0.4","Digital PCR Analysis"
"2510","dpglasso","1.0","Primal Graphical Lasso"
"2511","Dpit","1.0","Distribution Pitting"
"2512","dplR","1.6.6","Dendrochronology Program Library in R"
"2513","dplRCon","1.0","Concordance for Dendroclimatology"
"2514","dplyr","0.7.4","A Grammar of Data Manipulation"
"2515","dplyrAssist","0.1.0","RStudio Addin for Teaching and Learning Data Manipulation Using
'dplyr'"
"2516","dpmixsim","0.0-8","Dirichlet Process Mixture model simulation for clustering and<U+000a>image segmentation"
"2517","dpmr","0.1.9","Data Package Manager for R"
"2518","DPP","0.1.1","Inference of Parameters of Normal Distributions from a Mixture
of Normals"
"2519","DPpackage","1.1-7.2","Bayesian Nonparametric Modeling in R"
"2520","dprep","3.0.2","Data Pre-Processing and Visualization Functions for
Classification"
"2521","dr","3.0.10","Methods for Dimension Reduction for Regression"
"2522","dr4pl","1.0.0","Dose Response Data Analysis using the 4 Parameter Logistic (4PL)
Model"
"2523","drake","4.4.0","Data Frames in R for Make"
"2524","drat","0.1.4","'Drat' R Archive Template"
"2525","drawExpression","1.0","Visualising R syntax through graphics"
"2526","DRaWR","1.0.1","Discriminative Random Walk with Restart"
"2527","DrBats","0.1.4","Data Representation: Bayesian Approach That's Sparse"
"2528","drc","3.0-1","Analysis of Dose-Response Curves"
"2529","DREGAR","0.1.3.0","Regularized Estimation of Dynamic Linear Regression in the
Presence of Autocorrelated Residuals (DREGAR)"
"2530","drfit","0.7.1","Dose-Response Data Evaluation"
"2531","drgee","1.1.6","Doubly Robust Generalized Estimating Equations"
"2532","driftR","1.0.0","Drift Correcting Water Quality Data"
"2533","DrillR","0.1","R Driver for Apache Drill"
"2534","DrImpute","1.0","Imputing Dropout Events in Single-Cell RNA-Sequencing Data"
"2535","DRIP","1.1","Discontinuous Regression and Image Processing"
"2536","drLumi","0.1.2","Multiplex Immunoassays Data Analysis"
"2537","drm","0.5-8","Regression and association models for repeated categorical data"
"2538","drmdel","1.3.1","Dual Empirical Likelihood Inference under Density Ratio Models
in the Presence of Multiple Samples"
"2539","dropR","0.1","Analyze Drop Out of an Experiment or Survey"
"2540","DRR","0.0.2","Dimensionality Reduction via Regression"
"2541","drsmooth","1.9.0","Dose-Response Modeling with Smoothing Splines"
"2542","drtmle","1.0.0","Doubly-Robust Nonparametric Estimation and Inference"
"2543","DrugClust","0.2","Implementation of a Machine Learning Framework for Predicting
Drugs Side Effects"
"2544","ds","3.0","Descriptive Statistics"
"2545","DSAIDE","0.6.0","Dynamical Systems Approach to Infectious Disease Epidemiology"
"2546","dsample","0.91.2.2","Discretization-Based Direct Random Sample Generation"
"2547","DSBayes","1.1","Bayesian subgroup analysis in clinical trials"
"2548","dse","2015.12-1","Dynamic Systems Estimation (Time Series Package)"
"2549","DSL","0.1-6","Distributed Storage and List"
"2550","dslabs","0.3.3","Data Science Labs"
"2551","dslice","1.1.5","Dynamic Slicing"
"2552","dsm","2.2.15","Density Surface Modelling of Distance Sampling Data"
"2553","dsmodels","1.1.0","A Language to Facilitate Simulation and Visualization of
Two-Dimensional Dynamical Systems"
"2554","DSpat","0.1.6","Spatial Modelling for Distance Sampling Data"
"2555","dsrTest","0.2.1","Tests and Confidence Intervals on Directly Standardized Rates
for Several Methods"
"2556","DSsim","1.1.2","Distance Sampling Simulations"
"2557","dst","0.3","Using Dempster-Shafer Theory"
"2558","DstarM","0.2.2","Analyze Two Choice Reaction Time Data with the D*M Method"
"2559","DStree","1.0","Recursive Partitioning for Discrete-Time Survival Trees"
"2560","dSVA","1.0","Direct Surrogate Variable Analysis"
"2561","DSviaDRM","1.0","Exploring Disease Similarity in Terms of Dysfunctional
Regulatory Mechanisms"
"2562","DT","0.2","A Wrapper of the JavaScript Library 'DataTables'"
"2563","dtables","0.2.0","Simplifying Descriptive Frequencies and Statistics"
"2564","dtangle","0.1.0","Cell Type Deconvolution from Gene Expressions"
"2565","DTComPair","1.0.3","Comparison of Binary Diagnostic Tests in a Paired Study Design"
"2566","DTDA","2.1-1","Doubly truncated data analysis"
"2567","dti","1.2-6.1","Analysis of Diffusion Weighted Imaging (DWI) Data"
"2568","DTK","3.5","Dunnett-Tukey-Kramer Pairwise Multiple Comparison Test Adjusted<U+000a>for Unequal Variances and Unequal Sample Sizes"
"2569","DTMCPack","0.1-2","Suite of functions related to discrete-time discrete-state<U+000a>Markov Chains"
